Date,Open,High,Low,Close,Adj Close,Volume,Count,Week Day,Change,RSI
2018-03-05,18.450000762939453,18.600000381469727,18.450000762939453,18.479999542236328,18.479999542236328,2300,0,0,0.1625950030155643,0.8450000286102295
2018-03-06,18.479999542236328,18.75,18.450000762939453,18.600000381469727,18.600000381469727,2600,1,1,0.6493552067419417,0.8450000286102295
2018-03-07,18.420000076293945,18.6299991607666,18.420000076293945,18.56999969482422,18.56999969482422,2000,2,2,0.8143301732301156,0.8450000286102295
2018-03-08,18.540000915527344,18.56999969482422,18.450000762939453,18.56999969482422,18.56999969482422,1300,3,3,0.16180570558521623,0.8450000286102295
2018-03-09,18.420000076293945,18.540000915527344,17.3700008392334,18.0,18.0,1700,4,4,-2.280130697906313,0.8450000286102295
2018-03-12,18.149999618530273,18.149999618530273,17.940000534057617,18.0,18.0,2100,5,0,-0.8264441966000402,0.8450000286102295
2018-03-13,17.700000762939453,18.0,17.34000015258789,17.700000762939453,17.700000762939453,3500,6,1,0.0,0.8450000286102295
2018-03-14,17.459999084472656,17.700000762939453,17.399999618530273,17.489999771118164,17.489999771118164,2000,7,2,0.17182524752930028,0.8450000286102295
2018-03-15,17.489999771118164,17.520000457763672,17.399999618530273,17.520000457763672,17.520000457763672,1500,8,3,0.17153051479765757,0.8450000286102295
2018-03-16,17.520000457763672,17.549999237060547,17.489999771118164,17.489999771118164,17.489999771118164,2600,9,4,-0.17123679144775972,0.8450000286102295
2018-03-19,17.459999084472656,17.549999237060547,17.459999084472656,17.549999237060547,17.549999237060547,2200,10,0,0.5154648184828803,0.8450000286102295
2018-03-20,17.520000457763672,17.520000457763672,17.489999771118164,17.520000457763672,17.520000457763672,2400,11,1,0.0,0.8450000286102295
2018-03-21,17.489999771118164,17.549999237060547,17.489999771118164,17.549999237060547,17.549999237060547,1900,12,2,0.34305012422848336,0.8450000286102295
2018-03-22,17.549999237060547,17.549999237060547,17.489999771118164,17.549999237060547,17.549999237060547,2200,13,3,0.0,0.8450000286102295
2018-03-23,17.549999237060547,17.579999923706055,17.489999771118164,17.489999771118164,17.489999771118164,1900,14,4,-0.34187731367919527,16.326522668265213
