Date,Open,High,Low,Close,Adj Close,Volume,Count,Week Day,Change,RSI
2016-11-11,100.69999694824219,100.7300033569336,98.63999938964844,98.63999938964844,98.63999938964844,3200,0,4,-2.0456778758916383,58.08399963378906
2016-11-14,98.19999694824219,98.52999877929688,98.072998046875,98.44999694824219,98.44999694824219,2300,1,0,0.2545824926367013,58.08399963378906
2016-11-15,98.86000061035156,99.70999908447266,98.55000305175781,99.70999908447266,99.70999908447266,3000,2,1,0.8598001910512743,58.08399963378906
2016-11-16,97.62000274658203,98.04000091552734,97.3290023803711,97.6500015258789,97.6500015258789,2700,3,2,0.030730156169678224,58.08399963378906
2016-11-17,98.33999633789062,98.33999633789062,98.0,98.18000030517578,98.18000030517578,10600,4,3,-0.16269680564671152,58.08399963378906
2016-11-18,96.5,96.5,95.9000015258789,96.12999725341797,96.12999725341797,3100,5,4,-0.3834225353181675,58.08399963378906
2016-11-21,97.37000274658203,97.4000015258789,96.9000015258789,97.08000183105469,97.08000183105469,3700,6,0,-0.2978339399682506,58.08399963378906
2016-11-22,97.0999984741211,97.0999984741211,96.77100372314453,96.77100372314453,96.77100372314453,3900,7,1,-0.3388205521591692,58.08399963378906
2016-11-23,94.13999938964844,95.4800033569336,94.12999725341797,95.47000122070312,95.47000122070312,3500,8,2,1.4127914166960798,58.08399963378906
2016-11-25,97.30999755859375,97.54000091552734,96.98500061035156,96.98500061035156,96.98500061035156,11500,9,4,-0.33398104654817073,58.08399963378906
2016-11-28,95.66000366210938,95.66000366210938,95.0,95.0,95.0,1700,10,0,-0.6899473519158983,58.08399963378906
2016-11-29,95.20999908447266,96.38999938964844,95.20999908447266,96.38999938964844,96.38999938964844,1300,11,1,1.2393659453024952,58.08399963378906
2016-11-30,97.3499984741211,97.3499984741211,96.80000305175781,97.02999877929688,97.02999877929688,3300,12,2,-0.3287105288545922,58.08399963378906
2016-12-01,96.37999725341797,96.37999725341797,95.76000213623047,95.76000213623047,95.76000213623047,4000,13,3,-0.6432819411244739,58.08399963378906
2016-12-02,95.75,97.30999755859375,95.75,96.91000366210938,96.91000366210938,12500,14,4,1.211492075310061,44.78917141129039
2016-12-05,98.4000015258789,99.4800033569336,98.14299774169922,99.4800033569336,99.4800033569336,5000,15,0,1.0975628194178855,52.71339891074133
2016-12-06,100.11000061035156,101.80999755859375,100.11000061035156,101.80999755859375,101.80999755859375,2500,16,1,1.6981289959820511,55.23690512113237
2016-12-07,102.5,104.31999969482422,102.22000122070312,104.31999969482422,104.31999969482422,3500,17,2,1.7756094583651016,66.2682882169398
2016-12-08,102.94000244140625,103.45999908447266,102.74299621582031,103.27999877929688,103.27999877929688,2700,18,3,0.3302859236710809,62.1370727167287
2016-12-09,104.0199966430664,104.86000061035156,103.98999786376953,104.77999877929688,104.77999877929688,15500,19,4,0.7306308024968899,71.13881210396411
2016-12-12,104.75,104.83999633789062,104.52899932861328,104.73999786376953,104.73999786376953,5400,20,0,-0.009548578740303793,69.59078727955239
2016-12-13,107.23999786376953,107.52999877929688,106.84600067138672,107.52999877929688,107.52999877929688,3700,21,1,0.27042234362568696,74.41785647622442
2016-12-14,107.52999877929688,107.7300033569336,106.25,106.25,106.25,2400,22,2,-1.1903643576933742,74.48887203481307
2016-12-15,103.88999938964844,104.26000213623047,103.88999938964844,104.18000030517578,104.18000030517578,2600,23,3,0.2791422824440115,65.9428348084401
2016-12-16,105.94999694824219,105.94999694824219,104.84400177001953,105.36000061035156,105.36000061035156,12400,24,4,-0.5568630060261759,73.80515447073516
2016-12-19,105.91999816894531,105.91999816894531,105.5199966430664,105.52999877929688,105.52999877929688,1900,25,0,-0.3682018470453352,72.24927550443537
2016-12-20,105.5,105.5,105.5,105.5,105.5,200,26,1,0.0,71.24938367638187
2016-12-21,105.75,105.7699966430664,105.12999725341797,105.12999725341797,105.12999725341797,9000,27,2,-0.5862910133163424,74.61901134586859
2016-12-22,105.44999694824219,105.81999969482422,105.15499877929688,105.15499877929688,105.15499877929688,4800,28,3,-0.2797517093244717,73.02428282408204
2016-12-23,105.30999755859375,105.75,105.30999755859375,105.75,105.75,14000,29,4,0.41781640072817705,69.67983842733899
2016-12-27,105.8499984741211,105.94000244140625,105.6510009765625,105.77999877929688,105.77999877929688,3700,30,1,-0.06613103054633473,64.56346221016148
2016-12-28,104.91999816894531,104.93000030517578,104.7300033569336,104.7300033569336,104.7300033569336,3200,31,2,-0.18108541300752012,51.68448530730103
2016-12-29,105.44499969482422,106.16300201416016,105.44499969482422,105.88999938964844,105.88999938964844,3900,32,3,0.4220206705980667,60.6183972179078
2016-12-30,107.75,108.12999725341797,106.79000091552734,107.04000091552734,107.04000091552734,17400,33,4,-0.6589318649398157,59.46399965750776
2017-01-03,107.37999725341797,107.68000030517578,107.37999725341797,107.5510025024414,107.5510025024414,5800,34,1,0.1592524244714344,61.32465418439646
2017-01-04,108.66999816894531,109.41000366210938,108.20999908447266,109.41000366210938,109.41000366210938,1800,35,2,0.6809657731047469,58.18817762406743
2017-01-05,110.80000305175781,111.80999755859375,110.80000305175781,111.80999755859375,111.80999755859375,2300,36,3,0.9115473637343996,72.06349840690861
2017-01-06,110.80999755859375,111.23999786376953,110.80999755859375,110.80999755859375,110.80999755859375,2200,37,4,0.0,78.75109428628713
2017-01-09,108.9000015258789,110.30999755859375,108.9000015258789,110.27999877929688,110.27999877929688,15300,38,0,1.2672150909841973,72.610307265743
2017-01-10,110.36000061035156,110.86399841308594,110.33999633789062,110.33999633789062,110.33999633789062,2500,39,1,-0.01812637944028639,72.33055926281696
2017-01-11,109.70999908447266,110.93000030517578,109.6500015258789,110.93000030517578,110.93000030517578,3500,40,2,1.1120237269929945,73.96294388385537
2017-01-12,111.0,111.19000244140625,111.0,111.16999816894531,111.16999816894531,3400,41,3,0.15315150355432738,76.96431551663653
2017-01-13,111.69000244140625,111.7699966430664,111.4000015258789,111.61000061035156,111.61000061035156,1900,42,4,-0.07162846208786933,77.78737519705729
2017-01-17,111.4800033569336,111.5199966430664,111.18000030517578,111.2760009765625,111.2760009765625,17700,43,1,-0.18299459475070723,74.33506474307717
2017-01-18,111.0,111.17900085449219,110.41000366210938,110.66899871826172,110.66899871826172,3800,44,2,-0.2981993529173721,70.48865629590125
2017-01-19,110.45999908447266,110.45999908447266,109.31999969482422,109.93000030517578,109.93000030517578,4700,45,3,-0.479810595409802,72.37521141704573
2017-01-20,110.41999816894531,110.88899993896484,110.05000305175781,110.86000061035156,110.86000061035156,3800,46,4,0.39848075412303174,71.81739019766763
2017-01-23,110.72000122070312,111.2699966430664,110.05000305175781,111.2699966430664,111.2699966430664,3100,47,0,0.49674441501039723,69.8591462523533
2017-01-24,110.66000366210938,111.28500366210938,110.44999694824219,111.28500366210938,111.28500366210938,12700,48,1,0.5647930411319946,68.38684954974246
2017-01-25,113.4800033569336,114.29000091552734,113.23200225830078,114.29000091552734,114.29000091552734,4800,49,2,0.7137799917453558,71.59291694826796
2017-01-26,113.54000091552734,113.54000091552734,112.19999694824219,112.68000030517578,112.68000030517578,3600,50,3,-0.7574428425374036,54.13892754399605
2017-01-27,112.19000244140625,112.22899627685547,112.16000366210938,112.16000366210938,112.16000366210938,1900,51,4,-0.026739262540387276,56.72984181365106
2017-01-30,110.51000213623047,110.8290023803711,109.98500061035156,110.56300354003906,110.56300354003906,3200,52,0,0.04796073005524093,51.275140838195234
2017-01-31,111.88999938964844,111.88999938964844,110.88999938964844,111.8290023803711,111.8290023803711,16800,53,1,-0.05451515739572921,56.051393451111544
2017-02-01,111.94999694824219,112.36000061035156,111.44999694824219,112.18000030517578,112.18000030517578,4100,54,2,0.20545186530012138,55.180704909780346
2017-02-02,112.0199966430664,112.03900146484375,111.66999816894531,111.66999816894531,111.66999816894531,2700,55,3,-0.3124428536061319,52.02691752410244
2017-02-03,112.4800033569336,113.20999908447266,112.18000030517578,112.69999694824219,112.69999694824219,3100,56,4,0.19558462370461438,54.21694783981336
2017-02-06,111.12999725341797,111.12999725341797,110.45999908447266,111.08999633789062,111.08999633789062,8300,57,0,-0.035994705764386126,49.345053948427434
2017-02-07,110.41999816894531,110.68000030517578,110.18000030517578,110.54000091552734,110.54000091552734,18500,58,1,0.10867845369679774,49.54395144976399
2017-02-08,109.63999938964844,110.86000061035156,109.62999725341797,110.8499984741211,110.8499984741211,3300,59,2,1.1036109916167103,53.3542324981085
2017-02-09,112.19000244140625,112.62000274658203,111.87000274658203,112.52400207519531,112.52400207519531,3100,60,3,0.29770891034921476,55.754607559320704
2017-02-10,111.8499984741211,112.06999969482422,111.69999694824219,112.06999969482422,112.06999969482422,4300,61,4,0.19669309227037246,52.75825097353438
2017-02-13,113.0999984741211,113.0999984741211,112.66000366210938,112.87999725341797,112.87999725341797,5200,62,0,-0.19451920749005147,55.21342319503124
2017-02-14,112.70999908447266,112.70999908447266,111.70999908447266,112.63999938964844,112.63999938964844,15300,63,1,-0.06210602022252987,43.41684154260976
2017-02-15,112.48899841308594,113.70899963378906,112.16000366210938,113.38999938964844,113.38999938964844,2900,64,2,0.8009680851222667,53.041465587621445
2017-02-16,114.29000091552734,114.47899627685547,113.9489974975586,114.19999694824219,114.19999694824219,3900,65,3,-0.07875051759924645,58.52698098453837
2017-02-17,114.16999816894531,114.87000274658203,114.0,114.55500030517578,114.55500030517578,4600,66,4,0.3372183081414626,68.61939902824798
2017-02-21,114.18000030517578,114.43499755859375,114.18000030517578,114.43000030517578,114.43000030517578,3700,67,1,0.2189525305060558,63.57657036266525
2017-02-22,113.69999694824219,115.12000274658203,113.69999694824219,114.96499633789062,114.96499633789062,12600,68,2,1.1125764499574142,64.2630240181924
2017-02-23,115.52999877929688,115.70899963378906,115.13500213623047,115.55000305175781,115.55000305175781,4000,69,3,0.017315219139879545,69.71948512818285
2017-02-24,114.20999908447266,114.20999908447266,113.58000183105469,113.9000015258789,113.9000015258789,4100,70,4,-0.2714276867863963,55.73725643825903
2017-02-27,113.45999908447266,114.28900146484375,113.45999908447266,114.02999877929688,114.02999877929688,2000,71,0,0.502379428365618,66.37337647990591
2017-02-28,114.4000015258789,114.5989990234375,114.08000183105469,114.12999725341797,114.12999725341797,5000,72,1,-0.23601771753460898,71.04829027484787
2017-03-01,115.63999938964844,116.48999786376953,115.63999938964844,116.45999908447266,116.45999908447266,16000,73,2,0.7090969380423751,76.59271142846396
2017-03-02,115.83000183105469,116.31900024414062,115.48500061035156,115.61000061035156,115.61000061035156,4000,74,3,-0.18993457413909454,65.86794963532054
2017-03-03,116.72000122070312,117.96900177001953,116.37200164794922,117.71499633789062,117.71499633789062,5200,75,4,0.852463251183555,74.8131887000375
2017-03-06,116.58999633789062,116.76000213623047,116.58000183105469,116.76000213623047,116.76000213623047,1800,76,0,0.1458150816362913,66.84031503071628
2017-03-07,115.08000183105469,115.88800048828125,115.08000183105469,115.68000030517578,115.68000030517578,4500,77,1,0.5213750995606725,62.29774531511084
2017-03-08,115.76000213623047,115.80000305175781,114.8499984741211,114.95899963378906,114.95899963378906,13400,78,2,-0.6919510086901726,56.36201870010048
2017-03-09,115.5,116.42900085449219,115.20500183105469,116.37999725341797,116.37999725341797,4300,79,3,0.7619023839116723,58.42219658522236
2017-03-10,117.8499984741211,118.18900299072266,117.69999694824219,117.69999694824219,117.69999694824219,2700,80,4,-0.12728173765046424,61.30725135874857
2017-03-13,118.83000183105469,118.95899963378906,118.33699798583984,118.69999694824219,118.69999694824219,3800,81,0,-0.10940409055730793,64.44324014647705
2017-03-14,117.6500015258789,117.6500015258789,117.19999694824219,117.28900146484375,117.28900146484375,2600,82,1,-0.30684237684072135,57.42114792791001
