Date,Open,High,Low,Close,Adj Close,Volume,Count,Week Day,Change,RSI
2015-05-19,21.450000762939453,21.6200008392334,21.200000762939453,21.489999771118164,18.950695037841797,9458900,0,1,0.18647555597210985,15.970000267028809
2015-05-20,21.43000030517578,21.760000228881836,21.3700008392334,21.59000015258789,19.03887939453125,8403600,1,2,0.7466161695455886,15.970000267028809
2015-05-21,21.68000030517578,22.049999237060547,21.639999389648438,21.81999969482422,19.241701126098633,9715400,2,3,0.6457536331999636,15.970000267028809
2015-05-22,21.790000915527344,21.81999969482422,21.5,21.5,18.959514617919922,7743900,3,4,-1.3308898730733487,15.970000267028809
2015-05-26,21.3799991607666,21.399999618530273,21.0,21.209999084472656,18.70377540588379,9092500,4,1,-0.7951360288446785,15.970000267028809
2015-05-27,21.190000534057617,21.209999084472656,20.889999389648438,21.1299991607666,18.73925018310547,9760700,5,2,-0.28315890409996713,15.970000267028809
2015-05-28,21.15999984741211,21.15999984741211,20.829999923706055,21.049999237060547,18.668302536010742,8575800,6,3,-0.5198516594744462,15.970000267028809
2015-05-29,21.040000915527344,21.1200008392334,20.809999465942383,20.920000076293945,18.55301284790039,9786400,7,4,-0.5703461692572409,15.970000267028809
2015-06-01,20.979999542236328,21.100000381469727,20.809999465942383,20.8799991607666,18.517536163330078,8118000,8,0,-0.47664625191439214,15.970000267028809
2015-06-02,20.860000610351562,21.0,20.81999969482422,20.850000381469727,18.490934371948242,8397600,9,1,-0.04793973436834076,15.970000267028809
2015-06-03,20.950000762939453,20.989999771118164,20.790000915527344,20.799999237060547,18.446590423583984,8205300,10,2,-0.7159977108175508,15.970000267028809
2015-06-04,20.75,20.760000228881836,20.43000030517578,20.649999618530273,18.31355857849121,12959300,11,3,-0.48192954925169174,15.970000267028809
2015-06-05,20.59000015258789,20.770000457763672,20.43000030517578,20.709999084472656,18.366769790649414,8754900,12,4,0.5828019960926634,15.970000267028809
2015-06-08,21.200000762939453,21.200000762939453,20.700000762939453,20.760000228881836,18.411117553710938,14185200,13,0,-2.075474142561351,15.970000267028809
2015-06-09,20.770000457763672,20.770000457763672,20.309999465942383,20.6299991607666,18.295822143554688,10989900,14,1,-0.6740553390057302,25.287362621702982
2015-06-10,20.639999389648438,21.020000457763672,20.639999389648438,21.020000457763672,18.64169692993164,12287600,15,2,1.841090500738174,35.96061658958983
2015-06-11,21.0,21.09000015258789,20.770000457763672,20.799999237060547,18.446590423583984,8644500,16,3,-0.9523845854259694,24.75251731717819
2015-06-12,20.68000030517578,20.84000015258789,20.549999237060547,20.75,18.40224838256836,7674300,17,4,0.3384898152380522,28.571475281905506
2015-06-15,20.65999984741211,20.65999984741211,20.260000228881836,20.3799991607666,18.07411003112793,11146300,18,0,-1.3552792290101645,27.322452782795125
2015-06-16,20.600000381469727,20.989999771118164,20.5,20.899999618530273,18.5352725982666,14505900,19,1,1.4563069490542535,44.93394032278664
2015-06-17,20.979999542236328,21.1200008392334,20.75,20.90999984741211,18.544145584106445,6967300,20,2,-0.3336496489587448,46.81820231031457
2015-06-18,20.989999771118164,21.290000915527344,20.969999313354492,21.219999313354492,18.819067001342773,7743700,21,3,1.0957577167428179,56.30249205005899
2015-06-19,21.170000076293945,21.190000534057617,20.940000534057617,20.940000534057617,18.570749282836914,9573000,22,4,-1.0864409135920572,51.14506317539726
2015-06-22,21.110000610351562,21.139999389648438,20.90999984741211,21.059999465942383,18.67717170715332,7942200,23,0,-0.23685998561582267,53.87451770876296
2015-06-23,21.030000686645508,21.059999465942383,20.8799991607666,20.969999313354492,18.59735679626465,6724900,24,1,-0.28531322554410377,53.09090833427545
2015-06-24,20.8700008392334,20.979999542236328,20.559999465942383,20.770000457763672,18.419986724853516,13670200,25,2,-0.4791584928053094,52.14287125333871
2015-06-25,20.899999618530273,20.920000076293945,20.520000457763672,20.549999237060547,18.22487449645996,8794000,26,3,-1.6746430041051807,47.2973025219506
2015-06-26,20.510000228881836,20.600000381469727,20.329999923706055,20.329999923706055,18.029766082763672,14402300,27,4,-0.8776221509851911,43.130987884379365
2015-06-29,20.219999313354492,20.239999771118164,19.65999984741211,19.700000762939453,17.471046447753906,13547200,28,0,-2.5717040953191384,37.19010175155596
2015-06-30,19.899999618530273,20.059999465942383,19.56999969482422,19.729999542236328,17.49765396118164,15155700,29,1,-0.8542717565463986,30.275195109716407
2015-07-01,19.8700008392334,20.020000457763672,19.700000762939453,19.799999237060547,17.559728622436523,8697100,30,2,-0.35229793264343057,33.97433389412731
2015-07-02,19.860000610351562,19.969999313354492,19.639999389648438,19.700000762939453,17.471046447753906,7447600,31,3,-0.8056386832572038,33.43846834216812
2015-07-06,19.510000228881836,19.829999923706055,19.420000076293945,19.6200008392334,17.400102615356445,8651600,32,0,0.5638165508000448,36.8055546357287
2015-07-07,19.600000381469727,19.6299991607666,19.09000015258789,19.56999969482422,17.355756759643555,14206500,33,1,-0.15306472480414168,22.406573325070767
2015-07-08,19.3700008392334,19.3799991607666,19.139999389648438,19.139999389648438,16.974409103393555,9431000,34,2,-1.1874106330398315,18.727843033647588
2015-07-09,19.459999084472656,19.59000015258789,19.1200008392334,19.15999984741211,16.992149353027344,10142400,35,3,-1.541619995757959,9.448752674235507
2015-07-10,19.34000015258789,19.3799991607666,19.1200008392334,19.280000686645508,17.098569869995117,8702200,36,4,-0.31023508515513054,15.126013380306532
2015-07-13,18.959999084472656,19.15999984741211,18.670000076293945,19.149999618530273,16.983280181884766,17219700,37,0,1.0021125697902589,10.041833991993926
2015-07-14,19.149999618530273,19.31999969482422,19.1299991607666,19.25,17.07196617126465,7544700,38,1,0.5221952138994457,14.166675276227835
2015-07-15,19.299999237060547,19.309999465942383,18.969999313354492,19.059999465942383,16.903461456298828,8866900,39,2,-1.243522179303036,14.225940086939943
2015-07-16,19.3799991607666,19.6200008392334,19.329999923706055,19.540000915527344,17.329153060913086,10975900,40,3,0.8256024854978117,30.943438868431898
2015-07-17,19.43000030517578,19.520000457763672,19.079999923706055,19.079999923706055,16.921199798583984,11534900,41,4,-1.80134007191185,28.373726400711718
2015-07-20,19.100000381469727,19.100000381469727,18.899999618530273,18.90999984741211,16.770431518554688,9543500,42,0,-0.9947671741512121,33.744864688364885
2015-07-21,18.81999969482422,18.920000076293945,18.579999923706055,18.75,16.628536224365234,12235900,43,1,-0.3719431241195448,30.859422730185216
2015-07-22,18.639999389648438,18.850000381469727,18.459999084472656,18.780000686645508,16.655139923095703,12198900,44,2,0.7510799441056815,29.761983153308833
2015-07-23,18.829999923706055,19.030000686645508,18.709999084472656,18.780000686645508,16.655139923095703,9955300,45,3,-0.2655296721355782,30.991794486203688
2015-07-24,18.719999313354492,18.81999969482422,18.450000762939453,18.579999923706055,16.477767944335938,11529500,46,4,-0.7478600148695724,29.527609904963285
2015-07-27,18.440000534057617,18.65999984741211,18.309999465942383,18.450000762939453,16.362476348876953,13062400,47,0,0.054231174578145414,28.62602810929809
2015-07-28,18.649999618530273,18.709999084472656,18.059999465942383,18.3700008392334,16.291534423828125,15400200,48,1,-1.5013339679571525,33.03972567864035
2015-07-29,18.260000228881836,18.649999618530273,18.049999237060547,18.540000915527344,16.44229507446289,15920400,49,2,1.5334100938434236,37.19013540566528
2015-07-30,18.549999237060547,18.780000686645508,18.459999084472656,18.6299991607666,16.522113800048828,9830200,50,3,0.43126645281055254,36.40165994972268
2015-07-31,18.75,18.809999465942383,18.6299991607666,18.68000030517578,16.566457748413086,10523100,51,4,-0.37333170572916297,39.826869137078724
2015-08-03,18.600000381469727,18.639999389648438,18.110000610351562,18.190000534057617,16.13189697265625,14349100,52,0,-2.204300209695542,30.370399673914363
2015-08-04,18.190000534057617,18.43000030517578,18.18000030517578,18.280000686645508,16.211711883544922,9883100,53,1,0.4947781745216595,35.000036679749115
2015-08-05,18.389999389648438,18.639999389648438,18.309999465942383,18.3700008392334,16.291534423828125,7553300,54,2,-0.10874687916681003,23.529421918274025
2015-08-06,18.280000686645508,18.3799991607666,18.1200008392334,18.260000228881836,16.193981170654297,8624500,55,3,-0.10941169043983123,27.957004684282637
2015-08-07,18.280000686645508,18.31999969482422,18.059999465942383,18.1299991607666,16.078685760498047,6357200,56,4,-0.8205772442256509,28.57142857142857
2015-08-10,18.25,18.5,18.209999084472656,18.459999084472656,16.371349334716797,7615900,57,0,1.150679914918662,42.71355098175656
2015-08-11,18.260000228881836,18.270000457763672,17.780000686645508,17.889999389648438,15.865843772888184,10749900,58,1,-2.0262915366680456,32.41104633498914
2015-08-12,17.790000915527344,18.020000457763672,17.729999542236328,17.940000534057617,15.910181045532227,10759300,59,2,0.8431681327197182,33.72093882885919
2015-08-13,17.920000076293945,18.010000228881836,17.790000915527344,17.809999465942383,15.794892311096191,6663500,60,3,-0.6138426890805682,34.661358517406256
2015-08-14,17.719999313354492,17.989999771118164,17.709999084472656,17.959999084472656,15.927916526794434,6041600,61,4,1.3544005666935366,40.31618229107768
2015-08-17,17.899999618530273,18.190000534057617,17.809999465942383,18.15999984741211,16.10529327392578,5586500,62,0,1.4525152761047044,46.03772226880625
2015-08-18,18.06999969482422,18.110000610351562,17.8700008392334,17.920000076293945,15.89244556427002,5897900,63,1,-0.8301030496045803,38.60293885622324
2015-08-19,17.760000228881836,17.940000534057617,17.6299991607666,17.739999771118164,15.732812881469727,9230400,64,2,-0.11261518865943732,34.16374116580192
2015-08-20,17.600000381469727,17.6299991607666,17.219999313354492,17.229999542236328,15.280516624450684,8687400,65,3,-2.102277450078671,27.82876347974596
2015-08-21,17.079999923706055,17.270000457763672,16.790000915527344,16.790000915527344,14.890299797058105,13337700,66,4,-1.6978864723307674,28.260896606995942
2015-08-24,15.829999923706055,16.770000457763672,15.420000076293945,16.290000915527344,14.44687271118164,22789600,67,0,2.905881200494642,22.589557301067117
2015-08-25,16.8799991607666,16.8799991607666,15.949999809265137,15.970000267028809,14.163079261779785,20076600,68,1,-5.390988975004573,18.911937644579737
2015-08-26,16.350000381469727,16.56999969482422,15.829999923706055,16.520000457763672,14.650847434997559,16739000,69,2,1.0397557940525548,29.76745888114121
2015-08-27,16.600000381469727,17.020000457763672,16.56999969482422,16.959999084472656,15.151121139526367,11897400,70,3,2.1686668357236316,37.3101960803784
2015-08-28,16.920000076293945,17.25,16.899999618530273,17.18000030517578,15.34765911102295,11534100,71,4,1.5366443718053846,35.77779736930111
2015-08-31,17.049999237060547,17.270000457763672,16.969999313354492,17.209999084472656,15.374455451965332,9809600,72,0,0.9384155693352048,41.41413971132575
2015-09-01,16.770000457763672,16.899999618530273,16.56999969482422,16.700000762939453,14.918853759765625,14692300,73,1,-0.4174102141530467,35.97284745692498
2015-09-02,17.0,17.0,16.649999618530273,16.989999771118164,15.177919387817383,8524800,74,2,-0.05882487577550943,41.048030660863546
2015-09-03,17.010000228881836,17.6200008392334,17.010000228881836,17.260000228881836,15.419124603271484,10944700,75,3,1.4697236721697315,42.55319882864369
2015-09-04,17.010000228881836,17.350000381469727,17.010000228881836,17.239999771118164,15.401256561279297,10529700,76,4,1.3521430872517337,39.8230004472989
2015-09-08,17.549999237060547,17.81999969482422,17.5,17.790000915527344,15.892601013183594,11553000,77,1,1.3675309908845135,48.654252441446744
2015-09-09,18.0,18.15999984741211,17.520000457763672,17.559999465942383,15.687127113342285,10537600,78,2,-2.4444474114312054,48.155734260951135
2015-09-10,17.559999465942383,17.780000686645508,17.469999313354492,17.610000610351562,15.731799125671387,9943100,79,3,0.28474456679885574,54.298654542488784
2015-09-11,17.469999313354492,17.670000076293945,17.420000076293945,17.670000076293945,15.785398483276367,5698200,80,4,1.144824103035691,60.89107625427029
2015-09-14,17.68000030517578,17.75,17.469999313354492,17.6200008392334,15.740732192993164,5972100,81,0,-0.33936348929144433,68.52367503031037
