Date,Open,High,Low,Close,Adj Close,Volume,Count,Week Day,Change,RSI
2015-05-19,10.180000305175781,10.210000038146973,10.031999588012695,10.100000381469727,8.733926773071289,54600,0,1,-0.7858538438882068,0.6499999761581421
2015-05-20,10.020000457763672,10.119999885559082,9.819999694824219,10.09000015258789,8.7252779006958,40100,1,2,0.6985997168291735,0.6499999761581421
2015-05-21,10.119999885559082,10.154999732971191,9.930000305175781,9.949999809265137,8.60421371459961,41700,2,3,-1.6798426701222557,0.6499999761581421
2015-05-22,9.989999771118164,10.039999961853027,9.479999542236328,9.630000114440918,8.327495574951172,80000,3,4,-3.603600249501826,0.6499999761581421
2015-05-26,9.600000381469727,9.630000114440918,9.0,9.079999923706055,7.851882457733154,130200,4,1,-5.416671219799074,0.6499999761581421
2015-05-27,9.09000015258789,9.40999984741211,9.069999694824219,9.369999885559082,8.10266399383545,112700,5,2,3.080305041485354,0.6499999761581421
2015-05-28,9.199999809265137,9.359999656677246,8.399999618530273,8.600000381469727,7.436809062957764,294700,6,3,-6.521733046028578,0.6499999761581421
2015-05-29,8.5,8.710000038146973,8.350000381469727,8.5,7.3503336906433105,193300,7,4,0.0,0.6499999761581421
2015-06-01,8.65999984741211,8.65999984741211,7.869999885559082,7.96999979019165,6.892017364501953,239800,8,0,-7.967668237623049,0.6499999761581421
2015-06-02,8.0,8.25,7.989999771118164,8.079999923706055,6.98714017868042,176200,9,1,0.9999990463256836,0.6499999761581421
2015-06-03,8.140000343322754,8.220000267028809,8.020000457763672,8.149999618530273,7.047672271728516,87500,10,2,0.1228412135845014,0.6499999761581421
2015-06-04,8.149999618530273,8.199999809265137,7.929999828338623,8.15999984741211,7.056319236755371,84000,11,3,0.12270220061236792,0.6499999761581421
2015-06-05,8.220000267028809,8.220000267028809,7.989999771118164,8.050000190734863,6.961198329925537,63900,12,4,-2.0681273816477996,0.6499999761581421
2015-06-08,8.09000015258789,8.130000114440918,7.820000171661377,7.900000095367432,6.831486701965332,78300,13,0,-2.348579154966768,0.6499999761581421
2015-06-09,7.880000114440918,7.989999771118164,7.824999809265137,7.929999828338623,6.857427597045898,50900,14,1,0.6345141265426513,15.987452755378811
