Date,Open,High,Low,Close,Adj Close,Volume,Count,Week Day,Change,RSI
2016-09-22,25.290000915527344,25.290000915527344,25.200000762939453,25.200000762939453,22.3571834564209,400,0,3,-0.35587247659066845,22.209999084472656
2016-09-23,25.239999771118164,25.239999771118164,25.239999771118164,25.239999771118164,22.392681121826172,500,1,4,0.0,22.209999084472656
2016-09-26,25.273000717163086,25.34000015258789,25.273000717163086,25.34000015258789,22.481393814086914,2600,2,0,0.26510281139391356,22.209999084472656
2016-09-27,25.229999542236328,25.31999969482422,25.229999542236328,25.288000106811523,22.435264587402344,900,3,1,0.22988729935606855,22.209999084472656
2016-09-28,25.43000030517578,25.43000030517578,25.270000457763672,25.34000015258789,22.481393814086914,1400,4,2,-0.35391329731747634,22.209999084472656
2016-09-29,25.34000015258789,25.34000015258789,25.34000015258789,25.34000015258789,22.481393814086914,0,5,3,0.0,22.209999084472656
2016-09-30,25.309999465942383,25.309999465942383,25.309999465942383,25.309999465942383,22.454774856567383,200,6,4,0.0,22.209999084472656
2016-10-03,25.260000228881836,25.260000228881836,25.219999313354492,25.219999313354492,22.37493324279785,3100,7,0,-0.15835675045484665,22.209999084472656
2016-10-04,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,22.3571834564209,400,8,1,0.0,22.209999084472656
2016-10-05,25.1200008392334,25.1200008392334,25.1200008392334,25.1200008392334,22.286211013793945,600,9,2,0.0,22.209999084472656
2016-10-06,25.09000015258789,25.110000610351562,24.940000534057617,24.940000534057617,22.126514434814453,5400,10,3,-0.5978462240654903,22.209999084472656
2016-10-07,23.81999969482422,24.940000534057617,23.81999969482422,24.940000534057617,22.126514434814453,100,11,4,4.701934733763924,22.209999084472656
2016-10-10,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,22.126514434814453,0,12,0,0.0,22.209999084472656
2016-10-11,25.139999389648438,25.360000610351562,25.024999618530273,25.100000381469727,22.26846694946289,84100,13,1,-0.1591050483286005,22.209999084472656
