Date,Open,High,Low,Close,Adj Close,Volume,Count,Week Day,Change,RSI
2015-05-19,33.939998626708984,33.939998626708984,33.619998931884766,33.869998931884766,20.105253219604492,88900,0,1,-0.20624542621263675,1.4199999570846558
2015-05-20,33.900001525878906,33.93000030517578,33.56999969482422,33.70000076293945,20.004343032836914,61700,1,2,-0.589972725478416,1.4199999570846558
2015-05-21,33.790000915527344,33.90999984741211,33.599998474121094,33.709999084472656,20.010272979736328,57000,2,3,-0.23676184932545086,1.4199999570846558
2015-05-22,33.75,33.75,33.58000183105469,33.650001525878906,19.974660873413086,40700,3,4,-0.29629177517360716,1.4199999570846558
2015-05-26,33.61000061035156,33.61000061035156,33.06999969482422,33.220001220703125,19.71941375732422,81000,4,1,-1.1603671007620275,1.4199999570846558
2015-05-27,33.11000061035156,33.34000015258789,33.0,33.150001525878906,19.677860260009766,97500,5,2,0.12081218601620591,1.4199999570846558
2015-05-28,33.0099983215332,33.060001373291016,32.540000915527344,32.790000915527344,19.46417236328125,120700,6,3,-0.6664568833447904,1.4199999570846558
2015-05-29,32.709999084472656,32.779998779296875,32.52000045776367,32.720001220703125,19.422616958618164,64100,7,4,0.030578222288046852,1.4199999570846558
2015-06-01,32.70000076293945,32.779998779296875,32.59000015258789,32.66999816894531,19.39293098449707,51300,8,0,-0.09175104982915849,1.4199999570846558
2015-06-02,32.599998474121094,32.709999084472656,32.52000045776367,32.619998931884766,19.363248825073242,77900,9,1,0.06135110030618396,1.4199999570846558
2015-06-03,32.650001525878906,32.650001525878906,32.130001068115234,32.15999984741211,19.090194702148438,74800,10,2,-1.5007707674329351,1.4199999570846558
2015-06-04,31.90999984741211,31.950000762939453,31.389999389648438,31.649999618530273,18.78746223449707,140000,11,3,-0.8147923225481413,1.4199999570846558
2015-06-05,31.440000534057617,31.959999084472656,31.079999923706055,31.93000030517578,18.95366668701172,111400,12,4,1.5585234185583774,1.4199999570846558
2015-06-08,31.729999542236328,31.790000915527344,31.399999618530273,31.670000076293945,18.79932975769043,91300,13,0,-0.18909381282062876,1.4199999570846558
2015-06-09,31.549999237060547,31.829999923706055,31.190000534057617,31.209999084472656,18.526273727416992,105300,14,1,-1.0776550263383422,8.950592573580153
2015-06-10,31.219999313354492,31.43000030517578,30.889999389648438,30.90999984741211,18.34819984436035,62500,15,2,-0.9929515463178773,8.605314542830456
2015-06-11,30.899999618530273,31.09000015258789,30.739999771118164,30.75,18.25322151184082,81000,16,3,-0.4854356646668778,7.954563927056938
2015-06-12,30.56999969482422,30.65999984741211,29.200000762939453,30.34000015258789,18.009843826293945,138500,17,4,-0.7523701162328367,7.23515472677127
2015-06-15,30.110000610351562,30.56999969482422,30.06999969482422,30.420000076293945,18.05733299255371,89800,18,0,1.0295564917252253,10.22728319502356
2015-06-16,30.40999984741211,30.59000015258789,30.280000686645508,30.520000457763672,18.11669158935547,72100,19,1,0.36172512628580566,12.957763278358755
2015-06-17,30.520000457763672,30.68000030517578,30.239999771118164,30.43000030517578,18.063268661499023,72700,20,2,-0.29488909317823,14.024409391125943
2015-06-18,30.440000534057617,30.520000457763672,30.200000762939453,30.3799991607666,18.033588409423828,104000,21,3,-0.19711357502731897,14.110442369766574
2015-06-19,30.25,30.25,30.0,30.0,17.808019638061523,90400,22,4,-0.8264462809917328,12.813397556256163
2015-06-22,30.459999084472656,30.549999237060547,30.280000686645508,30.3799991607666,18.033588409423828,153300,23,0,-0.2626392846703518,21.428574904060866
2015-06-23,30.780000686645508,31.18000030517578,30.579999923706055,31.049999237060547,18.43130111694336,123300,24,1,0.8771882533848752,36.561739427610824
2015-06-24,31.110000610351562,31.170000076293945,30.8799991607666,30.959999084472656,18.37787628173828,58300,25,2,-0.48216497247188794,40.70080391381665
2015-06-25,30.90999984741211,31.06999969482422,30.5,30.5,18.10481834411621,82100,26,3,-1.3264310884376629,31.619530468550806
2015-06-26,31.0,31.0,30.170000076293945,30.229999542236328,17.94454574584961,135400,27,4,-2.483872444398938,31.5384528857943
2015-06-29,30.110000610351562,30.110000610351562,29.280000686645508,29.309999465942383,17.398433685302734,108400,28,0,-2.656928356667476,28.211007067253746
2015-06-30,29.579999923706055,29.610000610351562,29.100000381469727,29.540000915527344,17.534963607788086,70500,29,1,-0.13522315173049027,34.03264988911593
2015-07-01,29.59000015258789,29.68000030517578,29.350000381469727,29.469999313354492,17.493408203125,177200,30,2,-0.4055452470922094,34.76190627567256
2015-07-02,29.729999542236328,30.65999984741211,29.479999542236328,29.940000534057617,17.772401809692383,362400,31,3,0.7063605619063162,45.30517325290837
2015-07-06,29.8799991607666,29.969999313354492,29.700000762939453,29.969999313354492,17.790210723876953,118100,32,0,0.3012053384059854,44.655576567082896
2015-07-07,29.950000762939453,30.079999923706055,29.350000381469727,29.809999465942383,17.695234298706055,236800,33,1,-0.46745006153826596,41.686175660904865
2015-07-08,27.920000076293945,27.920000076293945,26.84000015258789,26.969999313354492,17.354198455810547,152600,34,2,-3.402581519854908,25.35612659465295
2015-07-09,27.329999923706055,27.559999465942383,27.200000762939453,27.229999542236328,17.521499633789062,92500,35,3,-0.3658996770906864,28.21577464060468
2015-07-10,27.6200008392334,27.649999618530273,27.170000076293945,27.6299991607666,17.778884887695312,150000,36,4,0.03619956998335283,33.6551709260162
2015-07-13,27.770000457763672,27.950000762939453,27.610000610351562,27.93000030517578,17.971927642822266,72000,37,0,0.5761607662033041,32.914940543692495
2015-07-14,27.940000534057617,28.15999984741211,27.799999237060547,27.959999084472656,17.99123191833496,141400,38,1,0.07157677177085375,26.33997760253675
2015-07-15,27.780000686645508,27.979999542236328,26.8799991607666,26.90999984741211,17.31559181213379,246100,39,2,-3.1317524036334143,22.96396308759185
2015-07-16,26.920000076293945,26.93000030517578,26.40999984741211,26.440000534057617,17.013166427612305,143100,40,3,-1.783059215735372,22.93334377712408
2015-07-17,26.40999984741211,26.65999984741211,25.93000030517578,26.31999969482422,16.935949325561523,422800,41,4,-0.3407805873073877,23.401369865146606
2015-07-20,26.059999465942383,26.299999237060547,25.170000076293945,25.170000076293945,16.195966720581055,162500,42,0,-3.41519343011335,22.691303498851568
2015-07-21,25.200000762939453,25.709999084472656,25.149999618530273,25.670000076293945,16.517698287963867,298500,43,1,1.8650765838297056,25.350314323750183
2015-07-22,25.5,25.700000762939453,24.780000686645508,25.1299991607666,16.170225143432617,264400,44,2,-1.4509836832682255,23.918267357102437
2015-07-23,24.969999313354492,25.459999084472656,24.899999618530273,25.270000457763672,16.260311126708984,182100,45,3,1.2014463462509228,20.77596864786642
2015-07-24,25.43000030517578,25.899999618530273,25.299999237060547,25.770000457763672,16.582050323486328,126400,46,4,1.3370041231131724,25.177314638312865
2015-07-27,25.479999542236328,25.670000076293945,24.979999542236328,25.049999237060547,16.118751525878906,150200,47,0,-1.687599344195434,23.61419633717263
