Date,Open,High,Low,Close,Adj Close,Volume,Count,Week Day,Change,RSI
2015-05-19,56.650001525878906,56.720001220703125,54.900001525878906,55.18000030517578,44.945030212402344,808100,0,1,-2.5948829322301026,21.059999465942383
2015-05-20,55.310001373291016,56.04999923706055,54.83000183105469,55.75,45.40930938720703,282500,1,2,0.795513678872295,21.059999465942383
2015-05-21,55.810001373291016,56.5,55.20000076293945,56.45000076293945,45.97946548461914,628700,2,3,1.1467467728010439,21.059999465942383
2015-05-22,56.29999923706055,56.61000061035156,55.88999938964844,56.25,45.816566467285156,307700,3,4,-0.0888085927852611,21.059999465942383
2015-05-26,56.130001068115234,56.209999084472656,55.33000183105469,55.900001525878906,45.53147506713867,544000,4,1,-0.4097622267229539,21.059999465942383
2015-05-27,54.70000076293945,56.38999938964844,54.70000076293945,56.27000045776367,45.832855224609375,428700,5,2,2.8702004989512364,21.059999465942383
2015-05-28,56.18000030517578,56.290000915527344,55.599998474121094,56.04999923706055,45.65365219116211,338300,6,3,-0.23140097438422158,21.059999465942383
2015-05-29,56.13999938964844,56.189998626708984,55.43000030517578,55.560001373291016,45.25455093383789,505300,7,4,-1.0331279349182987,21.059999465942383
2015-06-01,55.869998931884766,55.939998626708984,54.900001525878906,55.529998779296875,45.230106353759766,381900,8,0,-0.6085558601896746,21.059999465942383
2015-06-02,55.119998931884766,56.0,54.959999084472656,55.65999984741211,45.33599853515625,316300,9,1,0.9796823766173413,21.059999465942383
2015-06-03,56.060001373291016,56.369998931884766,55.5099983215332,56.33000183105469,45.88172149658203,279500,10,2,0.4816276331600422,21.059999465942383
2015-06-04,56.09000015258789,56.439998626708984,55.599998474121094,55.75,45.40930938720703,405400,11,3,-0.6061689279068472,21.059999465942383
2015-06-05,56.060001373291016,56.41999816894531,55.290000915527344,56.380001068115234,45.922454833984375,833100,12,4,0.5708164234485391,21.059999465942383
2015-06-08,56.4900016784668,56.5,55.31999969482422,55.31999969482422,45.05906295776367,341300,13,0,-2.071166487659293,21.059999465942383
2015-06-09,55.209999084472656,55.31999969482422,54.310001373291016,54.5,44.391151428222656,802900,14,1,-1.2859972763019645,45.01466587315082
2015-06-10,54.849998474121094,55.59000015258789,54.560001373291016,55.459999084472656,45.173095703125,522100,15,2,1.112125118179108,47.98889982328603
2015-06-11,55.5099983215332,55.93000030517578,55.0,55.91999816894531,45.54777526855469,417300,16,3,0.7386054040881884,46.19797553013034
2015-06-12,55.65999984741211,55.65999984741211,54.869998931884766,55.099998474121094,44.87986755371094,435300,17,4,-1.0061109860334483,42.42423633218306
2015-06-15,54.52000045776367,56.779998779296875,54.52000045776367,56.61000061035156,46.10979461669922,787900,18,0,3.833455860307633,54.05713408801785
2015-06-16,56.459999084472656,57.15999984741211,55.66999816894531,57.09000015258789,46.50075149536133,706100,19,1,1.1158361288186702,54.62753347759706
2015-06-17,57.310001373291016,57.9900016784668,56.79999923706055,57.41999816894531,46.7695426940918,723600,20,2,0.19193298380473234,57.636556091540776
2015-06-18,57.79999923706055,58.75,57.7599983215332,58.43000030517578,47.59220504760742,1105100,21,3,1.089967260261293,65.12115973114652
2015-06-19,58.22999954223633,58.70000076293945,58.06999969482422,58.15999984741211,47.372291564941406,2864400,22,4,-0.12021242551005784,63.51489789125416
2015-06-22,58.849998474121094,58.849998474121094,57.77000045776367,57.900001525878906,47.160518646240234,689300,23,0,-1.6142684330908597,61.35902978286799
2015-06-23,58.11000061035156,58.560001373291016,57.41999816894531,57.91999816894531,47.17679977416992,1059100,24,1,-0.3269702966969268,58.63190280100699
2015-06-24,57.70000076293945,57.9900016784668,56.779998779296875,56.81999969482422,46.280826568603516,587200,25,2,-1.5251318136558112,55.49845922231892
2015-06-25,57.15999984741211,57.43000030517578,56.599998474121094,56.93000030517578,46.37043762207031,408000,26,3,-0.40237848644211205,52.985882299339984
2015-06-26,57.439998626708984,58.16999816894531,57.209999084472656,57.959999084472656,47.20937728881836,1357600,27,4,0.9052932976949535,64.37909311525547
2015-06-29,57.130001068115234,57.18000030517578,54.08000183105469,54.18000030517578,44.13051223754883,1030600,28,0,-5.163663062813906,48.6820431959769
2015-06-30,54.75,56.41999816894531,54.689998626708984,56.2400016784668,45.80841827392578,1021200,29,1,2.721464252907402,52.945630455358085
2015-07-01,57.150001525878906,57.75,56.119998931884766,56.33000183105469,45.88172149658203,484100,30,2,-1.4348200751191587,51.592866424486154
