Date,Open,High,Low,Close,Adj Close,Volume,Count,Week Day,Change,RSI
2015-05-19,158.0,170.0,142.0,164.0,164.0,1800,0,1,3.797468354430378,0.3400000035762787
2015-05-20,168.0,170.0,148.0,158.0,158.0,1800,1,2,-5.952380952380953,0.3400000035762787
2015-05-21,158.0,158.0,146.0,146.0,146.0,700,2,3,-7.594936708860756,0.3400000035762787
2015-05-22,144.0,150.0,130.0,138.0,138.0,2000,3,4,-4.1666666666666625,0.3400000035762787
2015-05-26,132.0,150.0,132.0,140.0,140.0,500,4,1,6.060606060606055,0.3400000035762787
2015-05-27,134.0,146.0,132.0,132.0,132.0,400,5,2,-1.4925373134328401,0.3400000035762787
2015-05-28,140.0,144.0,134.0,142.0,142.0,300,6,3,1.4285714285714235,0.3400000035762787
2015-05-29,142.0,146.0,134.0,142.0,142.0,400,7,4,0.0,0.3400000035762787
2015-06-01,144.0,146.0,134.0,134.0,134.0,400,8,0,-6.944444444444442,0.3400000035762787
2015-06-02,140.0,142.0,112.0,118.0,118.0,2500,9,1,-15.714285714285714,0.3400000035762787
2015-06-03,118.0,126.0,118.0,118.0,118.0,1000,10,2,0.0,0.3400000035762787
2015-06-04,120.0,124.0,112.0,116.0,116.0,800,11,3,-3.3333333333333326,0.3400000035762787
2015-06-05,116.0,116.0,112.0,114.0,114.0,200,12,4,-1.7241379310344862,0.3400000035762787
2015-06-08,116.0,120.0,112.0,114.0,114.0,300,13,0,-1.7241379310344862,0.3400000035762787
2015-06-09,116.0,120.0,112.0,114.0,114.0,0,14,1,-1.7241379310344862,16.216216216216225
2015-06-10,112.0,116.0,110.0,110.0,110.0,400,15,2,-1.7857142857142905,16.666666666666657
2015-06-11,112.0,114.0,106.0,106.0,106.0,500,16,3,-5.35714285714286,18.75
2015-06-12,106.0,114.0,100.0,102.0,102.0,600,17,4,-3.7735849056603765,20.0
2015-06-15,104.0,108.0,98.0,98.0,98.0,600,18,0,-5.769230769230771,16.129032258064512
2015-06-16,120.0,124.0,108.0,122.0,122.0,2600,19,1,1.6666666666666607,43.58974358974359
2015-06-17,130.0,130.0,108.0,114.0,114.0,1800,20,2,-12.307692307692308,31.578947368421055
2015-06-18,120.0,120.0,108.0,110.0,110.0,100,21,3,-8.333333333333337,30.0
2015-06-19,108.0,112.0,108.0,108.0,108.0,100,22,4,0.0,32.432432432432435
2015-06-22,112.0,112.0,110.0,110.0,110.0,100,23,0,-1.7857142857142905,43.33333333333333
2015-06-23,110.0,112.0,110.0,112.0,112.0,200,24,1,1.8181818181818077,45.16129032258065
2015-06-24,112.0,116.0,112.0,112.0,112.0,200,25,2,0.0,46.666666666666664
2015-06-25,110.0,116.0,104.0,104.0,104.0,400,26,3,-5.454545454545457,42.42424242424243
2015-06-26,104.0,110.0,98.0,100.0,100.0,600,27,4,-3.8461538461538436,39.99999999999999
2015-06-29,100.0,106.0,100.0,102.0,102.0,100,28,0,2.0000000000000018,41.66666666666667
2015-06-30,104.0,104.0,102.0,104.0,104.0,100,29,1,0.0,45.714285714285715
2015-07-01,100.0,112.0,100.0,106.0,106.0,200,30,2,6.000000000000005,50.0
2015-07-02,110.0,110.0,100.0,102.0,102.0,200,31,3,-7.272727272727275,50.0
2015-07-06,104.0,116.0,102.0,114.0,114.0,300,32,0,9.615384615384626,60.526315789473685
2015-07-07,120.0,126.0,104.0,106.0,106.0,700,33,1,-11.66666666666667,36.666666666666664
2015-07-08,106.0,114.0,100.0,100.0,100.0,300,34,2,-5.660377358490565,37.93103448275862
2015-07-09,112.0,112.0,104.0,108.0,108.0,300,35,3,-3.57142857142857,48.38709677419355
2015-07-10,106.0,112.0,106.0,106.0,106.0,200,36,4,0.0,48.38709677419355
2015-07-13,106.0,128.0,102.0,120.0,120.0,2100,37,0,13.207547169811317,56.75675675675676
2015-07-14,126.0,126.0,120.0,122.0,122.0,300,38,1,-3.1746031746031744,56.75675675675676
2015-07-15,120.0,124.0,118.0,118.0,118.0,200,39,2,-1.6666666666666718,53.84615384615384
2015-07-16,120.0,120.0,104.0,106.0,106.0,1400,40,3,-11.66666666666667,51.21951219512195
2015-07-17,106.0,110.0,106.0,106.0,106.0,0,41,4,0.0,53.84615384615384
2015-07-20,104.0,110.0,102.0,104.0,104.0,300,42,0,0.0,51.28205128205128
2015-07-21,110.0,110.0,104.0,106.0,106.0,100,43,1,-3.6363636363636376,51.28205128205128
2015-07-22,104.0,110.0,102.0,106.0,106.0,100,44,2,1.9230769230769162,50.0
2015-07-23,108.0,110.0,106.0,108.0,108.0,100,45,3,0.0,54.054054054054056
2015-07-24,112.0,112.0,108.0,112.0,112.0,100,46,4,0.0,48.484848484848484
2015-07-27,108.0,112.0,102.0,102.0,102.0,100,47,0,-5.555555555555558,47.05882352941176
2015-07-28,110.0,110.0,102.0,106.0,106.0,100,48,1,-3.6363636363636376,54.54545454545455
2015-07-29,104.0,112.0,102.0,108.0,108.0,200,49,2,3.8461538461538547,50.0
2015-07-30,106.0,110.0,104.0,110.0,110.0,0,50,3,3.7735849056603765,53.33333333333333
2015-07-31,110.0,110.0,104.0,108.0,108.0,0,51,4,-1.8181818181818188,37.5
2015-08-03,106.0,108.0,106.0,108.0,108.0,0,52,0,1.8867924528301883,34.78260869565217
