Date,Open,High,Low,Close,Adj Close,Volume,Count,Week Day,Change,RSI
2015-05-19,35.5,35.5,35.5,35.5,34.41047286987305,0,0,1,0.0,0.33000001311302185
2015-05-20,35.5,35.5,35.5,35.5,34.41047286987305,0,1,2,0.0,0.33000001311302185
2015-05-21,34.5,34.5,34.0,34.0,32.956512451171875,200,2,3,-1.449275362318836,0.33000001311302185
2015-05-22,33.5,40.0,33.5,40.0,38.77236557006836,800,3,4,19.402985074626855,0.33000001311302185
2015-05-26,40.0,40.0,37.5,40.0,38.77236557006836,1000,4,1,0.0,0.33000001311302185
2015-05-27,40.5,40.5,39.0,39.0,37.80305862426758,400,5,2,-3.703703703703709,0.33000001311302185
2015-05-28,40.0,40.0,40.0,40.0,38.77236557006836,0,6,3,0.0,0.33000001311302185
2015-05-29,40.0,42.0,40.0,42.0,40.71098327636719,500,7,4,5.000000000000004,0.33000001311302185
2015-06-01,42.0,42.0,40.0,40.0,38.77236557006836,0,8,0,-4.761904761904767,0.33000001311302185
2015-06-02,39.0,39.0,39.0,39.0,37.80305862426758,0,9,1,0.0,0.33000001311302185
2015-06-03,39.0,39.0,39.0,39.0,37.80305862426758,0,10,2,0.0,0.33000001311302185
2015-06-04,40.5,42.5,38.5,42.5,41.19563674926758,900,11,3,4.938271604938271,0.33000001311302185
2015-06-05,42.5,42.5,42.0,42.5,41.19563674926758,300,12,4,0.0,0.33000001311302185
2015-06-08,40.0,40.0,40.0,40.0,38.77236557006836,200,13,0,0.0,0.33000001311302185
2015-06-09,35.0,37.5,35.0,35.0,33.925819396972656,600,14,1,0.0,49.01960784313726
2015-06-10,35.5,37.5,35.0,37.5,36.349090576171875,100,15,2,5.633802816901401,53.57142857142857
2015-06-11,37.0,37.5,35.0,37.0,35.86444091796875,200,16,3,0.0,55.55555555555556
2015-06-12,38.5,38.5,30.0,38.0,36.83374786376953,200,17,4,-1.2987012987012991,45.45454545454546
2015-06-15,30.0,38.0,30.0,38.0,36.83374786376953,200,18,0,26.66666666666666,45.45454545454546
2015-06-16,30.5,38.0,30.5,34.0,32.956512451171875,100,19,1,11.475409836065564,40.0
2015-06-17,38.5,38.5,38.5,38.5,37.318397521972656,0,20,2,0.0,47.368421052631575
2015-06-18,32.5,40.0,31.0,40.0,38.77236557006836,800,21,3,23.076923076923084,46.42857142857143
2015-06-19,42.5,42.5,32.5,34.5,33.441162109375,200,22,4,-18.823529411764707,41.269841269841265
2015-06-22,42.5,42.5,31.0,34.0,32.956512451171875,100,23,0,-19.999999999999996,41.935483870967744
2015-06-23,41.5,44.0,38.5,43.5,42.16494369506836,700,24,1,4.819277108433728,55.55555555555556
2015-06-24,42.5,43.5,35.0,40.0,38.77236557006836,1200,25,2,-5.882352941176472,46.91358024691358
2015-06-25,45.0,45.0,42.5,42.5,41.19563674926758,100,26,3,-5.555555555555558,50.0
2015-06-26,44.0,44.0,40.5,40.5,39.257015228271484,300,27,4,-7.954545454545459,50.588235294117645
2015-06-29,42.5,42.5,42.5,42.5,41.19563674926758,0,28,0,0.0,59.49367088607595
2015-06-30,40.0,41.5,31.0,41.5,40.2263298034668,200,29,1,3.750000000000009,55.26315789473684
2015-07-01,41.5,41.5,41.5,41.5,40.2263298034668,0,30,2,0.0,55.99999999999999
2015-07-02,42.0,42.5,42.0,42.0,40.71098327636719,600,31,3,0.0,55.4054054054054
2015-07-06,42.0,42.0,42.0,42.0,40.71098327636719,0,32,0,0.0,55.4054054054054
2015-07-07,42.0,42.0,41.0,41.0,39.741676330566406,100,33,1,-2.3809523809523836,60.29411764705882
2015-07-08,41.0,41.0,41.0,41.0,39.741676330566406,0,34,2,0.0,54.23728813559322
2015-07-09,36.0,40.0,36.0,40.0,38.77236557006836,100,35,3,11.111111111111116,50.0
2015-07-10,40.0,40.0,35.0,35.0,33.925819396972656,100,36,4,-12.5,50.87719298245614
2015-07-13,39.0,40.0,39.0,40.0,38.77236557006836,800,37,0,2.564102564102555,59.09090909090909
2015-07-14,35.5,40.0,35.5,40.0,38.77236557006836,300,38,1,12.676056338028175,42.5531914893617
2015-07-15,38.0,38.0,37.5,37.5,36.349090576171875,0,39,2,-1.3157894736842146,44.444444444444436
2015-07-16,35.0,40.0,33.5,40.0,38.77236557006836,0,40,3,14.28571428571428,44.444444444444436
2015-07-17,33.5,40.0,33.5,40.0,38.77236557006836,300,41,4,19.402985074626855,48.78048780487806
2015-07-20,33.5,40.0,33.5,40.0,38.77236557006836,0,42,0,19.402985074626855,43.24324324324324
2015-07-21,40.0,40.0,40.0,40.0,38.77236557006836,0,43,1,0.0,45.714285714285715
2015-07-22,39.5,39.5,33.5,39.5,38.28771209716797,100,44,2,0.0,44.444444444444436
2015-07-23,35.0,38.0,35.0,37.5,36.349090576171875,300,45,3,7.14285714285714,38.46153846153846
2015-07-24,37.5,37.5,37.5,37.5,36.349090576171875,0,46,4,0.0,38.46153846153846
2015-07-27,33.5,36.5,31.0,35.5,34.41047286987305,500,47,0,5.970149253731338,36.58536585365854
2015-07-28,33.0,34.0,30.0,31.5,30.53323745727539,500,48,1,-4.545454545454541,30.612244897959187
2015-07-29,31.5,31.5,20.5,29.0,28.109966278076172,500,49,2,-7.936507936507942,28.846153846153854
2015-07-30,29.0,29.0,29.0,29.0,28.109966278076172,400,50,3,0.0,35.71428571428572
2015-07-31,29.0,29.0,23.0,25.5,24.717382431030273,100,51,4,-12.06896551724138,12.820512820512818
2015-08-03,25.5,25.5,23.0,25.5,24.717382431030273,600,52,0,0.0,12.820512820512818
2015-08-04,25.5,25.5,24.5,25.0,24.232728958129883,0,53,1,-1.9607843137254943,14.285714285714292
2015-08-05,25.5,26.0,25.5,26.0,25.202037811279297,100,54,2,1.9607843137254832,6.25
2015-08-06,26.0,26.0,26.0,26.0,25.202037811279297,200,55,3,0.0,6.25
2015-08-07,26.0,27.0,26.0,27.0,26.17134666442871,0,56,4,3.8461538461538547,11.764705882352942
2015-08-10,25.0,25.0,24.0,25.0,24.232728958129883,100,57,0,0.0,10.526315789473685
2015-08-11,25.0,25.0,25.0,25.0,24.232728958129883,200,58,1,0.0,10.810810810810807
2015-08-12,24.0,25.0,23.0,25.0,24.232728958129883,100,59,2,4.166666666666674,12.121212121212125
2015-08-13,23.5,23.5,20.0,22.5,21.8094539642334,1000,60,3,-4.255319148936165,10.526315789473685
2015-08-14,22.5,22.5,22.5,22.5,21.8094539642334,0,61,4,0.0,11.764705882352942
2015-08-17,22.5,22.5,22.5,22.5,21.8094539642334,0,62,0,0.0,15.384615384615387
2015-08-18,22.5,31.5,22.5,27.5,26.6560001373291,400,63,1,22.222222222222232,45.16129032258065
2015-08-19,27.5,30.0,26.5,26.5,25.686691284179688,300,64,2,-3.6363636363636376,42.42424242424243
2015-08-20,27.5,30.0,26.5,28.5,27.625308990478516,300,65,3,3.6363636363636376,60.0
2015-08-21,26.5,28.0,26.5,28.0,27.140655517578125,0,66,4,5.660377358490565,58.064516129032256
2015-08-24,25.5,25.5,25.5,25.5,24.717382431030273,100,67,0,0.0,51.42857142857143
2015-08-25,26.5,26.5,25.5,26.5,25.686691284179688,100,68,1,0.0,51.42857142857143
2015-08-26,25.0,25.0,24.0,24.0,23.26342010498047,400,69,2,-4.0000000000000036,45.00000000000001
2015-08-27,24.0,24.0,21.0,22.5,21.8094539642334,200,70,3,-6.25,39.02439024390244
2015-08-28,25.0,25.0,22.5,22.5,21.8094539642334,100,71,4,-9.999999999999998,43.24324324324324
