Date,Open,High,Low,Close,Adj Close,Volume,Count,Week Day,Change,RSI
2015-05-19,10.5,11.0,10.0,10.25,10.25,2800,0,1,-2.3809523809523836,0.30000001192092896
2015-05-20,10.25,10.25,10.0,10.0,10.0,7000,1,2,-2.4390243902439046,0.30000001192092896
2015-05-21,10.25,10.5,9.5,10.25,10.25,5300,2,3,0.0,0.30000001192092896
2015-05-22,9.5,9.75,8.5,9.25,9.25,27300,3,4,-2.631578947368418,0.30000001192092896
2015-05-26,8.75,9.25,8.5,8.75,8.75,5500,4,1,0.0,0.30000001192092896
2015-05-27,9.0,10.25,8.75,9.25,9.25,5600,5,2,2.777777777777768,0.30000001192092896
2015-05-28,10.0,10.25,9.75,9.75,9.75,1800,6,3,-2.500000000000002,0.30000001192092896
2015-05-29,10.25,10.25,9.5,9.5,9.5,3000,7,4,-7.317073170731703,0.30000001192092896
2015-06-01,10.0,10.0,9.5,9.5,9.5,1400,8,0,-5.000000000000004,0.30000001192092896
2015-06-02,10.25,10.25,9.5,9.75,9.75,1400,9,1,-4.878048780487809,0.30000001192092896
2015-06-03,10.0,10.0,9.5,9.75,9.75,1700,10,2,-2.500000000000002,0.30000001192092896
2015-06-04,10.0,10.25,9.0,9.75,9.75,1900,11,3,-2.500000000000002,0.30000001192092896
2015-06-05,10.25,10.25,9.75,9.75,9.75,1900,12,4,-4.878048780487809,0.30000001192092896
2015-06-08,10.25,10.25,9.5,9.75,9.75,1700,13,0,-4.878048780487809,0.30000001192092896
2015-06-09,10.25,11.0,9.25,11.0,11.0,5600,14,1,7.317073170731714,57.89473684210526
2015-06-10,10.0,11.25,10.0,11.25,11.25,2300,15,2,12.5,63.15789473684211
2015-06-11,11.5,11.75,10.5,11.0,11.0,5700,16,3,-4.347826086956519,57.89473684210526
2015-06-12,11.0,11.0,10.0,10.25,10.25,6900,17,4,-6.818181818181824,61.11111111111111
2015-06-15,10.75,10.75,10.0,10.5,10.5,2200,18,0,-2.3255813953488413,70.58823529411765
2015-06-16,12.25,12.25,10.75,11.5,11.5,8000,19,1,-6.122448979591832,73.68421052631578
2015-06-17,11.5,11.75,10.25,11.5,11.5,4100,20,2,0.0,70.58823529411765
2015-06-18,10.75,11.25,10.0,10.25,10.25,4700,21,3,-4.651162790697672,57.14285714285714
2015-06-19,10.5,10.5,9.75,9.75,9.75,11000,22,4,-7.14285714285714,52.17391304347826
2015-06-22,9.75,10.25,9.75,10.0,10.0,10500,23,0,2.564102564102555,52.17391304347826
2015-06-23,9.75,10.25,9.75,10.0,10.0,3800,24,1,2.564102564102555,52.17391304347826
2015-06-24,10.5,10.5,10.0,10.5,10.5,2200,25,2,0.0,55.99999999999999
2015-06-25,10.25,10.25,10.0,10.0,10.0,800,26,3,-2.4390243902439046,51.85185185185185
2015-06-26,9.75,10.0,9.75,10.0,10.0,3500,27,4,2.564102564102555,51.85185185185185
2015-06-29,9.75,10.0,9.5,9.75,9.75,4000,28,0,0.0,39.130434782608695
2015-06-30,9.75,10.0,9.75,9.75,9.75,500,29,1,0.0,36.36363636363636
2015-07-01,9.75,10.25,9.75,9.75,9.75,6400,30,2,0.0,38.095238095238095
2015-07-02,9.75,10.0,9.75,10.0,10.0,5500,31,3,2.564102564102555,47.368421052631575
2015-07-06,9.75,10.25,9.75,9.75,9.75,1800,32,0,0.0,42.10526315789474
2015-07-07,10.0,10.0,9.5,10.0,10.0,3400,33,1,0.0,31.25
2015-07-08,9.75,9.75,9.0,9.25,9.25,4300,34,2,-5.128205128205132,26.31578947368422
2015-07-09,9.25,9.75,9.0,9.0,9.0,2100,35,3,-2.7027027027026973,33.33333333333333
2015-07-10,9.0,9.75,9.0,9.5,9.5,900,36,4,5.555555555555558,46.666666666666664
2015-07-13,9.25,9.5,9.0,9.5,9.5,1000,37,0,2.7027027027026973,42.857142857142854
2015-07-14,9.0,9.75,9.0,9.0,9.0,900,38,1,0.0,37.5
2015-07-15,9.5,9.5,9.0,9.25,9.25,2800,39,2,-2.631578947368418,33.33333333333333
2015-07-16,9.0,9.75,9.0,9.25,9.25,1600,40,3,2.777777777777768,38.46153846153846
2015-07-17,9.0,9.25,8.75,9.25,9.25,1800,41,4,2.777777777777768,38.46153846153846
2015-07-20,9.0,9.25,7.75,8.75,8.75,3600,42,0,-2.777777777777779,35.71428571428572
2015-07-21,8.75,9.25,8.25,9.25,9.25,2300,43,1,5.714285714285716,43.75
2015-07-22,9.0,9.0,8.75,9.0,9.0,4800,44,2,0.0,41.17647058823529
2015-07-23,9.0,9.25,8.75,9.0,9.0,2100,45,3,0.0,37.5
2015-07-24,8.75,9.25,8.75,9.25,9.25,3000,46,4,5.714285714285716,43.75
2015-07-27,9.0,9.5,8.5,8.5,8.5,1800,47,0,-5.555555555555558,33.33333333333333
2015-07-28,8.75,9.25,8.0,8.25,8.25,8900,48,1,-5.714285714285716,37.5
2015-07-29,8.25,9.25,8.25,8.5,8.5,4100,49,2,3.0303030303030276,43.75
2015-07-30,9.0,9.25,7.5,7.75,7.75,6600,50,3,-13.888888888888884,29.411764705882362
2015-07-31,8.5,8.5,7.75,8.25,8.25,5000,51,4,-2.941176470588236,36.8421052631579
2015-08-03,8.75,9.5,7.75,7.75,7.75,3400,52,0,-11.428571428571432,36.8421052631579
2015-08-04,8.0,8.25,7.75,8.25,8.25,2100,53,1,3.125,39.99999999999999
2015-08-05,8.25,8.25,8.0,8.0,8.0,1700,54,2,-3.0303030303030276,38.095238095238095
2015-08-06,8.25,8.25,7.75,7.75,7.75,2600,55,3,-6.060606060606055,36.36363636363636
2015-08-07,8.0,8.5,7.75,8.25,8.25,2900,56,4,3.125,45.45454545454546
2015-08-10,8.5,8.5,7.75,8.25,8.25,4200,57,0,-2.941176470588236,39.99999999999999
2015-08-11,8.75,9.25,8.0,8.5,8.5,4800,58,1,-2.857142857142858,45.00000000000001
2015-08-12,8.75,9.25,8.5,9.0,9.0,4000,59,2,2.857142857142847,50.0
2015-08-13,9.0,9.75,9.0,9.25,9.25,4500,60,3,2.777777777777768,50.0
2015-08-14,9.5,9.75,9.0,9.5,9.5,1000,61,4,0.0,60.0
2015-08-17,9.25,9.75,9.0,9.5,9.5,1100,62,0,2.7027027027026973,63.15789473684211
2015-08-18,9.25,9.75,9.25,9.5,9.5,3500,63,1,2.7027027027026973,61.11111111111111
2015-08-19,9.75,9.75,8.5,8.5,8.5,4500,64,2,-12.82051282051282,57.89473684210526
2015-08-20,8.75,9.0,8.25,8.25,8.25,3800,65,3,-5.714285714285716,50.0
2015-08-21,8.75,9.0,7.75,8.25,8.25,4800,66,4,-5.714285714285716,56.25
2015-08-24,8.25,8.25,7.75,7.75,7.75,5300,67,0,-6.060606060606055,43.75
2015-08-25,7.75,8.5,7.25,7.5,7.5,2600,68,1,-3.2258064516129004,43.75
2015-08-26,8.0,8.25,7.0,7.0,7.0,6500,69,2,-12.5,41.17647058823529
2015-08-27,7.0,7.5,7.0,7.25,7.25,3600,70,3,3.571428571428581,37.5
2015-08-28,7.5,7.5,7.0,7.0,7.0,3300,71,4,-6.666666666666665,35.294117647058826
2015-08-31,7.0,7.5,7.0,7.5,7.5,2400,72,0,7.14285714285714,38.888888888888886
2015-09-01,7.5,8.0,7.5,7.75,7.75,2900,73,1,3.3333333333333437,35.294117647058826
2015-09-02,7.5,8.0,7.25,7.5,7.5,2200,74,2,0.0,29.411764705882362
2015-09-03,7.25,8.0,7.25,8.0,8.0,1100,75,3,10.344827586206895,33.33333333333333
2015-09-04,7.75,8.0,7.5,8.0,8.0,2000,76,4,3.2258064516129004,33.33333333333333
2015-09-08,8.0,8.25,7.5,7.75,7.75,1700,77,1,-3.125,31.578947368421055
2015-09-09,8.0,8.25,7.75,8.25,8.25,2200,78,2,3.125,47.05882352941176
2015-09-10,8.25,9.5,8.0,8.5,8.5,6300,79,3,3.0303030303030276,52.94117647058823
2015-09-11,7.5,9.25,7.5,8.75,8.75,5200,80,4,16.666666666666675,55.55555555555556
2015-09-14,9.0,9.25,8.25,9.25,9.25,1000,81,0,2.777777777777768,66.66666666666666
2015-09-15,9.25,9.75,9.0,9.5,9.5,2200,82,1,2.7027027027026973,72.22222222222223
2015-09-16,9.5,9.75,8.75,9.75,9.75,2200,83,2,2.6315789473684292,82.3529411764706
2015-09-17,9.75,9.75,9.0,9.0,9.0,2700,84,3,-7.692307692307687,68.42105263157895
2015-09-18,9.0,15.75,9.0,15.75,15.75,35500,85,4,75.0,88.88888888888889
2015-09-21,11.25,13.75,11.25,11.5,11.5,14500,86,0,2.2222222222222143,63.333333333333336
2015-09-22,11.5,11.75,11.0,11.25,11.25,3400,87,1,-2.1739130434782594,61.666666666666664
2015-09-23,11.25,11.25,10.5,10.75,10.75,5600,88,2,-4.444444444444439,60.65573770491804
2015-09-24,10.5,11.0,10.5,10.5,10.5,1800,89,3,0.0,58.33333333333333
2015-09-25,10.5,12.25,10.5,11.75,11.75,6600,90,4,11.904761904761907,61.53846153846153
2015-09-28,11.75,12.75,11.25,11.75,11.75,3800,91,0,0.0,62.50000000000001
2015-09-29,12.75,14.5,11.25,11.25,11.25,2300,92,1,-11.764705882352944,59.375
2015-09-30,12.0,12.0,10.5,10.5,10.5,3600,93,2,-12.5,56.060606060606055
2015-10-01,10.5,12.0,10.5,10.5,10.5,3300,94,3,0.0,55.38461538461538
2015-10-02,10.5,11.25,10.25,10.75,10.75,4100,95,4,2.3809523809523725,54.6875
2015-10-05,11.5,11.5,10.5,11.0,11.0,1200,96,0,-4.347826086956519,54.6875
2015-10-06,10.25,10.5,10.0,10.25,10.25,3800,97,1,0.0,51.515151515151516
2015-10-07,10.0,11.0,9.75,10.5,10.5,4900,98,2,5.000000000000004,54.6875
2015-10-08,10.75,12.5,10.75,11.5,11.5,6400,99,3,6.976744186046502,29.268292682926827
2015-10-09,11.75,12.5,11.5,11.75,11.75,1400,100,4,0.0,52.0
2015-10-12,11.75,11.75,11.0,11.25,11.25,2600,101,0,-4.255319148936165,50.0
2015-10-13,11.5,12.5,11.5,11.75,11.75,2300,102,1,2.1739130434782705,57.692307692307686
2015-10-14,12.0,12.5,11.75,11.75,11.75,1200,103,2,-2.083333333333337,60.0
2015-10-15,11.75,12.25,11.5,12.25,12.25,2300,104,3,4.255319148936176,54.54545454545455
2015-10-16,12.25,12.25,12.0,12.25,12.25,500,105,4,0.0,54.54545454545455
2015-10-19,12.25,12.5,11.5,12.25,12.25,3500,106,0,0.0,60.0
2015-10-20,12.5,12.5,8.75,10.5,10.5,4100,107,1,-16.000000000000004,50.0
2015-10-21,11.0,11.5,9.75,10.0,10.0,7100,108,2,-9.090909090909093,46.15384615384615
2015-10-22,10.0,11.0,10.0,10.0,10.0,1900,109,3,0.0,43.99999999999999
2015-10-23,10.0,10.5,9.75,10.5,10.5,7300,110,4,5.000000000000004,46.15384615384615
2015-10-26,10.75,10.75,9.5,10.0,10.0,1900,111,0,-6.976744186046513,47.99999999999999
2015-10-27,10.0,10.0,9.5,9.5,9.5,2000,112,1,-5.000000000000004,42.30769230769231
2015-10-28,9.5,10.0,9.5,9.5,9.5,3900,113,2,0.0,31.818181818181827
2015-10-29,8.75,10.0,8.75,10.0,10.0,5200,114,3,14.28571428571428,34.78260869565217
2015-10-30,9.5,10.0,9.25,9.5,9.5,4700,115,4,0.0,34.78260869565217
2015-11-02,9.75,10.0,9.25,9.5,9.5,3100,116,0,-2.564102564102566,28.57142857142857
2015-11-03,9.25,9.75,9.25,9.5,9.5,5600,117,1,2.7027027027026973,28.57142857142857
2015-11-04,9.5,9.75,9.0,9.75,9.75,5700,118,2,2.6315789473684292,25.000000000000014
2015-11-05,9.5,9.75,9.25,9.5,9.5,1200,119,3,0.0,23.80952380952381
2015-11-06,9.5,9.75,9.0,9.5,9.5,8300,120,4,0.0,23.80952380952381
