Date,Open,High,Low,Close,Adj Close,Volume,Count,Week Day,Change,RSI
2015-05-19,20.5,20.709999084472656,20.450000762939453,20.649999618530273,15.881086349487305,96300,0,1,0.7317054562452352,10.289999961853027
2015-05-20,20.709999084472656,20.81999969482422,20.6299991607666,20.670000076293945,15.896465301513672,99100,1,2,-0.19313862842562646,10.289999961853027
2015-05-21,20.719999313354492,20.760000228881836,20.440000534057617,20.579999923706055,15.827251434326172,55900,2,3,-0.6756727523547945,10.289999961853027
2015-05-22,20.510000228881836,20.670000076293945,20.420000076293945,20.489999771118164,15.75803279876709,48100,3,4,-0.09751563891017279,10.289999961853027
2015-05-26,20.329999923706055,20.3799991607666,20.190000534057617,20.31999969482422,15.627297401428223,81300,4,1,-0.04918951755713552,10.289999961853027
2015-05-27,20.31999969482422,20.489999771118164,20.200000762939453,20.459999084472656,15.73495864868164,95000,5,2,0.6889733846014545,10.289999961853027
2015-05-28,20.389999389648438,20.479999542236328,20.15999984741211,20.360000610351562,15.658056259155273,75900,6,3,-0.14712496417289556,10.289999961853027
2015-05-29,20.350000381469727,20.3799991607666,20.06999969482422,20.1200008392334,15.473482131958008,111900,7,4,-1.1302188595817442,10.289999961853027
2015-06-01,20.030000686645508,20.3799991607666,20.030000686645508,20.25,15.573457717895508,94000,8,0,1.0983490055552991,10.289999961853027
2015-06-02,20.329999923706055,20.420000076293945,20.1200008392334,20.260000228881836,15.58115291595459,114100,9,1,-0.34431724095873584,10.289999961853027
2015-06-03,20.219999313354492,20.299999237060547,20.010000228881836,20.030000686645508,15.404267311096191,81800,10,2,-0.9396569394713006,10.289999961853027
2015-06-04,20.0,20.18000030517578,19.850000381469727,19.950000762939453,15.342743873596191,73200,11,3,-0.2499961853027366,10.289999961853027
2015-06-05,19.81999969482422,19.899999618530273,19.579999923706055,19.649999618530273,15.11202621459961,158600,12,4,-0.8577198734182612,10.289999961853027
2015-06-08,19.5,19.700000762939453,19.420000076293945,19.459999084472656,14.965902328491211,112100,13,0,-0.20513290014022578,10.289999961853027
2015-06-09,19.3700008392334,19.540000915527344,19.049999237060547,19.200000762939453,14.765947341918945,239300,14,1,-0.8776461999403518,14.634128187020892
2015-06-10,19.309999465942383,19.420000076293945,19.170000076293945,19.260000228881836,14.812091827392578,108800,15,2,-0.2589292513898389,16.26788712856829
