Date,Open,High,Low,Close,Adj Close,Volume,Count,Week Day,Change,RSI
2015-05-19,39.4900016784668,39.4900016784668,37.88999938964844,38.34000015258789,38.34000015258789,66600,0,1,-2.912133393263394,25.309999465942383
2015-05-20,38.31999969482422,38.95000076293945,38.0,38.86000061035156,38.86000061035156,85900,1,2,1.409188204143641,25.309999465942383
2015-05-21,38.75,39.20000076293945,38.65999984741211,38.83000183105469,38.83000183105469,50600,2,3,0.20645633820564058,25.309999465942383
2015-05-22,39.2400016784668,39.2400016784668,38.2400016784668,38.650001525878906,38.650001525878906,126700,3,4,-1.5035681125152855,25.309999465942383
2015-05-26,38.380001068115234,39.060001373291016,38.22999954223633,38.9900016784668,38.9900016784668,86700,4,1,1.589371009315399,25.309999465942383
2015-05-27,39.06999969482422,39.900001525878906,38.880001068115234,39.7599983215332,39.7599983215332,70900,5,2,1.7660574151486141,25.309999465942383
2015-05-28,39.619998931884766,39.66999816894531,38.849998474121094,39.0,39.0,145100,6,3,-1.564863575465203,25.309999465942383
2015-05-29,38.91999816894531,39.18000030517578,37.91999816894531,39.099998474121094,39.099998474121094,231200,7,4,0.46248795900356576,25.309999465942383
2015-06-01,39.029998779296875,39.20000076293945,38.25,38.47999954223633,38.47999954223633,105900,8,0,-1.4091705207848748,25.309999465942383
2015-06-02,38.29999923706055,38.869998931884766,38.29999923706055,38.790000915527344,38.790000915527344,61700,9,1,1.2793777760513603,25.309999465942383
2015-06-03,38.880001068115234,39.38999938964844,38.58000183105469,39.15999984741211,39.15999984741211,57500,10,2,0.7201614496006092,25.309999465942383
2015-06-04,39.0,39.459999084472656,38.900001525878906,39.060001373291016,39.060001373291016,65200,11,3,0.15384967510516656,25.309999465942383
2015-06-05,39.06999969482422,39.15999984741211,38.29999923706055,39.11000061035156,39.11000061035156,63100,12,4,0.10238268707394305,25.309999465942383
2015-06-08,39.0,39.2400016784668,38.66999816894531,38.880001068115234,38.880001068115234,27900,13,0,-0.30768956893529875,25.309999465942383
2015-06-09,38.810001373291016,38.81999969482422,38.33000183105469,38.650001525878906,38.650001525878906,82400,14,1,-0.4122644724311231,53.362278761519626
