Date,Open,High,Low,Close,Adj Close,Volume,Count,Week Day,Change,RSI
2015-11-11,15.100000381469727,17.93000030517578,14.75,17.75,17.75,1261000,0,2,17.549665904527224,6.800000190734863
2015-11-12,17.75,18.030000686645508,17.399999618530273,17.5,17.5,91900,1,3,-1.4084507042253502,6.800000190734863
2015-11-13,18.0,18.360000610351562,17.709999084472656,18.100000381469727,18.100000381469727,27000,2,4,0.5555576748318192,6.800000190734863
2015-11-16,17.829999923706055,18.100000381469727,17.75,17.799999237060547,17.799999237060547,9400,3,0,-0.16825960052652134,6.800000190734863
2015-11-17,17.799999237060547,20.899999618530273,17.799999237060547,19.149999618530273,19.149999618530273,13900,4,1,7.5842721310850125,6.800000190734863
2015-11-18,19.0,20.0,18.969999313354492,20.0,20.0,17300,5,2,5.263157894736836,6.800000190734863
2015-11-19,20.0,23.479999542236328,19.969999313354492,21.959999084472656,21.959999084472656,240700,6,3,9.799995422363272,6.800000190734863
2015-11-20,22.200000762939453,23.3799991607666,21.510000228881836,22.889999389648438,22.889999389648438,126900,7,4,3.108101815297526,6.800000190734863
2015-11-23,22.200000762939453,23.979999542236328,21.559999465942383,23.360000610351562,23.360000610351562,96800,8,0,5.225224358318981,6.800000190734863
2015-11-24,23.34000015258789,29.530000686645508,22.549999237060547,26.0,26.0,95600,9,1,11.396743059220471,6.800000190734863
2015-11-25,27.829999923706055,28.1200008392334,25.350000381469727,27.270000457763672,27.270000457763672,50900,10,2,-2.0122151184965187,6.800000190734863
2015-11-27,26.06999969482422,26.979999542236328,25.399999618530273,26.40999984741211,26.40999984741211,20700,11,4,1.3041816515839466,6.800000190734863
2015-11-30,26.200000762939453,26.3799991607666,22.989999771118164,25.190000534057617,25.190000534057617,90500,12,0,-3.8549625934000242,6.800000190734863
2015-12-01,25.25,28.25,24.170000076293945,27.850000381469727,27.850000381469727,64200,13,1,10.29703121374148,6.800000190734863
2015-12-02,27.510000228881836,27.950000762939453,24.290000915527344,27.860000610351562,27.860000610351562,45900,14,2,1.2722660071164738,82.88874041548176
