Date,Open,High,Low,Close,Adj Close,Volume,Count,Week Day,Change,RSI
2015-05-19,32.79999923706055,33.459999084472656,32.38999938964844,32.86000061035156,32.86000061035156,130000,0,1,0.18293102038617892,22.049999237060547
2015-05-20,32.779998779296875,33.400001525878906,32.02000045776367,33.09000015258789,33.09000015258789,112300,1,2,0.9457028213399665,22.049999237060547
2015-05-21,33.040000915527344,33.650001525878906,32.5099983215332,33.029998779296875,33.029998779296875,133100,2,3,-0.030272808575404486,22.049999237060547
2015-05-22,33.16999816894531,33.33000183105469,32.439998626708984,32.91999816894531,32.91999816894531,104800,3,4,-0.753693137776712,22.049999237060547
2015-05-26,32.689998626708984,33.56999969482422,32.31999969482422,33.38999938964844,33.38999938964844,128800,4,1,2.1413300469444563,22.049999237060547
2015-05-27,33.630001068115234,35.0,33.099998474121094,34.619998931884766,34.619998931884766,188900,5,2,2.943793732757727,22.049999237060547
2015-05-28,34.400001525878906,34.709999084472656,32.849998474121094,33.25,33.25,134900,6,3,-3.3430275432219547,22.049999237060547
2015-05-29,33.33000183105469,33.88999938964844,32.61000061035156,33.72999954223633,33.72999954223633,249500,7,4,1.200113078928644,22.049999237060547
2015-06-01,34.0099983215332,34.04999923706055,32.02000045776367,32.060001373291016,32.060001373291016,168100,8,0,-5.733599072269168,22.049999237060547
2015-06-02,32.0,32.79999923706055,31.1200008392334,32.41999816894531,32.41999816894531,230100,9,1,1.3124942779541016,22.049999237060547
2015-06-03,32.459999084472656,33.040000915527344,31.920000076293945,32.220001220703125,32.220001220703125,136200,10,2,-0.7393649739328989,22.049999237060547
2015-06-04,31.790000915527344,32.349998474121094,31.3700008392334,31.81999969482422,31.81999969482422,130200,11,3,0.09436545590730816,22.049999237060547
2015-06-05,31.850000381469727,32.63999938964844,31.260000228881836,32.470001220703125,32.470001220703125,77900,12,4,1.9466274154084973,22.049999237060547
2015-06-08,32.380001068115234,33.0099983215332,31.8700008392334,32.65999984741211,32.65999984741211,143900,13,0,0.864727517172903,22.049999237060547
2015-06-09,32.2400016784668,32.369998931884766,30.760000228881836,31.030000686645508,31.030000686645508,209100,14,1,-3.7531046179487437,39.88949593903055
2015-06-10,30.190000534057617,31.440000534057617,30.139999389648438,31.40999984741211,31.40999984741211,205400,15,2,4.041070857147555,40.86955674428614
